fixed acidity;volatile acidity;citric acid;residual sugar;chlorides;free sulfur dioxide;total sulfur dioxide;density;pH;sulphates;alcohol;quality
29.5;70.5;2.5;12.5;41.5;11.5;30.5;284.5;63.5;20.5;12.5;5.0
33.5;104.5;2.5;24.5;63.5;25.5;63.5;224.5;32.5;32.5;18.5;5.0
33.5;82.5;6.5;19.5;57.5;15.5;50.5;237.5;38.5;29.5;18.5;5.0
67.5;14.5;58.5;12.5;40.5;17.5;56.5;292.5;28.5;22.5;18.5;6.0
29.5;70.5;2.5;12.5;41.5;11.5;30.5;284.5;63.5;20.5;12.5;5.0
29.5;62.5;2.5;11.5;40.5;13.5;36.5;284.5;63.5;20.5;12.5;5.0
34.5;51.5;8.5;7.5;34.5;15.5;55.5;194.5;42.5;10.5;12.5;5.0
28.5;61.5;2.5;3.5;30.5;15.5;17.5;80.5;51.5;11.5;21.5;7.0
33.5;48.5;4.5;13.5;38.5;9.5;14.5;224.5;48.5;21.5;13.5;7.0
30.5;39.5;38.5;64.5;36.5;17.5;97.5;284.5;47.5;44.5;26.5;5.0
22.5;48.5;10.5;11.5;62.5;15.5;61.5;162.5;40.5;18.5;9.5;5.0
30.5;39.5;38.5;64.5;36.5;17.5;97.5;284.5;47.5;44.5;26.5;5.0
11.5;54.5;2.5;7.5;54.5;16.5;55.5;69.5;70.5;16.5;19.5;5.0
33.5;53.5;31.5;7.5;75.5;9.5;25.5;266.5;38.5;86.5;8.5;5.0
44.5;55.5;20.5;40.5;103.5;50.5;110.5;311.5;28.5;52.5;9.5;5.0
44.5;55.5;21.5;41.5;100.5;49.5;110.5;311.5;29.5;57.5;9.5;5.0
40.5;14.5;58.5;11.5;57.5;35.5;98.5;231.5;42.5;39.5;26.5;7.0
36.5;46.5;30.5;9.5;121.5;16.5;52.5;224.5;23.5;83.5;11.5;5.0
29.5;50.5;10.5;47.5;51.5;6.5;25.5;266.5;50.5;14.5;6.5;4.0
34.5;18.5;53.5;11.5;118.5;17.5;52.5;231.5;16.5;72.5;9.5;6.0
44.5;8.5;50.5;11.5;42.5;29.5;56.5;224.5;51.5;17.5;12.5;6.0
31.5;26.5;33.5;19.5;47.5;23.5;67.5;297.5;64.5;29.5;17.5;5.0
34.5;32.5;23.5;7.5;70.5;10.5;33.5;211.5;29.5;55.5;13.5;5.0
40.5;38.5;13.5;19.5;49.5;9.5;63.5;224.5;29.5;17.5;12.5;5.0
24.5;28.5;16.5;21.5;50.5;21.5;36.5;224.5;55.5;27.5;17.5;6.0
18.5;26.5;18.5;5.5;45.5;11.5;19.5;137.5;46.5;20.5;11.5;5.0
31.5;29.5;26.5;11.5;45.5;4.5;7.5;180.5;40.5;23.5;13.5;5.0
34.5;32.5;23.5;7.5;70.5;10.5;33.5;211.5;29.5;55.5;13.5;5.0
26.5;72.5;2.5;12.5;45.5;14.5;31.5;251.5;59.5;19.5;12.5;5.0
33.5;60.5;2.5;13.5;47.5;8.5;12.5;194.5;50.5;23.5;18.5;6.0
22.5;65.5;9.5;21.5;54.5;17.5;78.5;155.5;47.5;18.5;22.5;5.0
24.5;67.5;2.5;22.5;69.5;22.5;33.5;211.5;58.5;21.5;28.5;6.0
38.5;62.5;14.5;19.5;48.5;15.5;104.5;211.5;29.5;30.5;18.5;5.0
24.5;52.5;14.5;75.5;38.5;40.5;79.5;326.5;57.5;16.5;12.5;6.0
7.5;18.5;27.5;11.5;67.5;13.5;46.5;148.5;50.5;19.5;9.5;5.0
33.5;60.5;2.5;58.5;51.5;5.5;14.5;311.5;52.5;19.5;16.5;6.0
33.5;51.5;16.5;21.5;51.5;3.5;11.5;272.5;54.5;24.5;31.5;6.0
36.5;25.5;30.5;15.5;31.5;13.5;26.5;224.5;35.5;37.5;17.5;7.0
12.5;124.5;11.5;6.5;101.5;7.5;15.5;58.5;62.5;12.5;18.5;4.0
28.5;34.5;38.5;62.5;39.5;12.5;83.5;284.5;45.5;47.5;26.5;5.0
28.5;34.5;38.5;62.5;39.5;12.5;83.5;284.5;45.5;47.5;26.5;5.0
43.5;53.5;32.5;27.5;53.5;17.5;42.5;276.5;38.5;15.5;11.5;4.0
30.5;38.5;22.5;24.5;117.5;8.5;10.5;224.5;33.5;54.5;26.5;6.0
36.5;62.5;24.5;17.5;34.5;9.5;19.5;224.5;42.5;82.5;24.5;5.0
23.5;64.5;4.5;11.5;15.5;5.5;7.5;180.5;60.5;16.5;13.5;5.0
2.5;41.5;17.5;15.5;19.5;8.5;61.5;29.5;85.5;20.5;54.5;4.0
32.5;110.5;45.5;17.5;75.5;22.5;105.5;237.5;37.5;37.5;9.5;5.0
42.5;15.5;54.5;7.5;75.5;12.5;33.5;231.5;37.5;22.5;13.5;5.0
19.5;28.5;25.5;7.5;31.5;5.5;8.5;155.5;46.5;20.5;9.5;5.0
11.5;17.5;39.5;5.5;39.5;12.5;92.5;130.5;44.5;22.5;9.5;5.0
43.5;62.5;28.5;9.5;39.5;4.5;19.5;244.5;27.5;38.5;9.5;5.0
21.5;41.5;6.5;17.5;34.5;8.5;11.5;143.5;52.5;27.5;12.5;6.0
21.5;39.5;6.5;15.5;33.5;6.5;10.5;137.5;51.5;28.5;12.5;6.0
41.5;25.5;38.5;30.5;46.5;30.5;107.5;237.5;32.5;20.5;12.5;5.0
31.5;40.5;17.5;27.5;73.5;33.5;69.5;137.5;29.5;27.5;23.5;6.0
32.5;55.5;6.5;40.5;49.5;25.5;41.5;284.5;46.5;17.5;13.5;5.0
57.5;31.5;59.5;34.5;35.5;4.5;6.5;244.5;16.5;27.5;16.5;5.0
30.5;57.5;14.5;54.5;74.5;48.5;103.5;301.5;38.5;41.5;12.5;5.0
33.5;50.5;20.5;19.5;41.5;17.5;50.5;272.5;55.5;23.5;21.5;5.0
28.5;26.5;33.5;21.5;39.5;9.5;42.5;180.5;53.5;18.5;12.5;6.0
43.5;28.5;42.5;17.5;44.5;19.5;48.5;292.5;56.5;28.5;9.5;5.0
32.5;68.5;51.5;11.5;76.5;20.5;104.5;224.5;33.5;35.5;11.5;5.0
30.5;41.5;18.5;12.5;50.5;12.5;31.5;224.5;50.5;26.5;13.5;7.0
25.5;77.5;7.5;13.5;46.5;13.5;50.5;211.5;51.5;21.5;18.5;5.0
27.5;75.5;7.5;50.5;51.5;4.5;7.5;180.5;53.5;4.5;32.5;5.0
27.5;75.5;7.5;50.5;51.5;4.5;7.5;180.5;53.5;4.5;32.5;5.0
30.5;41.5;13.5;6.5;44.5;11.5;35.5;224.5;54.5;22.5;16.5;5.0
21.5;71.5;9.5;7.5;41.5;6.5;11.5;180.5;56.5;22.5;29.5;5.0
48.5;18.5;59.5;13.5;39.5;27.5;61.5;231.5;40.5;43.5;29.5;5.0
35.5;71.5;7.5;12.5;39.5;8.5;15.5;180.5;46.5;59.5;26.5;6.0
32.5;57.5;10.5;12.5;41.5;15.5;23.5;218.5;44.5;18.5;13.5;6.0
32.5;64.5;25.5;15.5;53.5;17.5;92.5;180.5;44.5;12.5;13.5;5.0
32.5;68.5;24.5;12.5;49.5;18.5;90.5;174.5;43.5;12.5;13.5;5.0
38.5;65.5;28.5;15.5;49.5;11.5;39.5;276.5;43.5;17.5;9.5;4.0
52.5;18.5;56.5;22.5;59.5;28.5;79.5;305.5;40.5;46.5;16.5;5.0
43.5;29.5;66.5;17.5;58.5;9.5;38.5;311.5;66.5;30.5;26.5;5.0
43.5;29.5;66.5;17.5;58.5;9.5;38.5;311.5;66.5;30.5;26.5;5.0
23.5;87.5;2.5;21.5;68.5;14.5;26.5;211.5;64.5;19.5;29.5;6.0
22.5;80.5;14.5;13.5;51.5;12.5;76.5;155.5;50.5;16.5;22.5;5.0
38.5;56.5;22.5;6.5;45.5;27.5;107.5;251.5;28.5;76.5;8.5;4.0
17.5;34.5;22.5;7.5;34.5;3.5;11.5;155.5;53.5;20.5;9.5;5.0
33.5;32.5;71.5;12.5;124.5;22.5;63.5;266.5;25.5;83.5;12.5;5.0
29.5;39.5;49.5;13.5;51.5;21.5;69.5;237.5;48.5;21.5;8.5;5.0
28.5;64.5;28.5;11.5;121.5;16.5;47.5;231.5;28.5;78.5;12.5;5.0
18.5;16.5;50.5;11.5;34.5;18.5;57.5;162.5;56.5;42.5;24.5;6.0
24.5;45.5;17.5;17.5;41.5;19.5;36.5;174.5;53.5;23.5;22.5;5.0
41.5;38.5;30.5;12.5;73.5;20.5;108.5;251.5;7.5;89.5;19.5;6.0
32.5;38.5;28.5;12.5;27.5;9.5;27.5;211.5;51.5;28.5;16.5;5.0
48.5;26.5;46.5;15.5;71.5;34.5;108.5;284.5;26.5;83.5;13.5;5.0
25.5;55.5;10.5;11.5;41.5;8.5;20.5;284.5;60.5;17.5;6.5;5.0
34.5;41.5;28.5;12.5;44.5;43.5;110.5;194.5;35.5;18.5;13.5;5.0
41.5;38.5;30.5;12.5;73.5;20.5;108.5;251.5;7.5;89.5;19.5;6.0
41.5;38.5;31.5;13.5;73.5;19.5;108.5;251.5;7.5;90.5;18.5;5.0
32.5;38.5;28.5;12.5;27.5;9.5;27.5;211.5;51.5;28.5;16.5;5.0
5.5;119.5;6.5;5.5;10.5;42.5;81.5;48.5;83.5;12.5;26.5;4.0
3.5;51.5;19.5;19.5;23.5;17.5;101.5;23.5;85.5;24.5;52.5;6.0
23.5;85.5;2.5;30.5;66.5;8.5;19.5;203.5;57.5;20.5;29.5;5.0
25.5;39.5;27.5;13.5;35.5;3.5;18.5;187.5;37.5;27.5;9.5;5.0
31.5;107.5;8.5;22.5;44.5;5.5;6.5;218.5;51.5;20.5;18.5;5.0
36.5;44.5;20.5;12.5;45.5;13.5;31.5;251.5;42.5;23.5;6.5;6.0
38.5;53.5;32.5;15.5;49.5;11.5;46.5;251.5;52.5;25.5;23.5;6.0
33.5;39.5;32.5;12.5;40.5;8.5;18.5;162.5;43.5;20.5;25.5;6.0
36.5;44.5;20.5;12.5;45.5;13.5;31.5;251.5;42.5;23.5;6.5;6.0
36.5;48.5;24.5;15.5;42.5;12.5;61.5;218.5;41.5;15.5;9.5;5.0
27.5;38.5;26.5;17.5;35.5;5.5;32.5;168.5;45.5;12.5;12.5;5.0
36.5;48.5;24.5;15.5;42.5;12.5;61.5;218.5;41.5;15.5;9.5;5.0
33.5;29.5;70.5;9.5;124.5;18.5;65.5;258.5;20.5;83.5;11.5;5.0
17.5;57.5;33.5;9.5;53.5;15.5;60.5;231.5;58.5;43.5;11.5;5.0
35.5;19.5;55.5;22.5;56.5;18.5;76.5;276.5;49.5;44.5;16.5;6.0
36.5;87.5;54.5;13.5;82.5;37.5;112.5;231.5;33.5;33.5;11.5;5.0
33.5;46.5;21.5;11.5;68.5;12.5;43.5;194.5;31.5;57.5;13.5;5.0
39.5;55.5;11.5;17.5;49.5;11.5;102.5;194.5;27.5;30.5;18.5;5.0
39.5;51.5;12.5;17.5;50.5;14.5;104.5;194.5;27.5;30.5;18.5;5.0
56.5;17.5;46.5;19.5;45.5;22.5;42.5;316.5;44.5;31.5;17.5;6.0
33.5;46.5;21.5;11.5;68.5;12.5;43.5;194.5;31.5;57.5;13.5;5.0
49.5;28.5;33.5;17.5;55.5;13.5;58.5;211.5;19.5;27.5;26.5;6.0
38.5;43.5;30.5;12.5;42.5;11.5;36.5;284.5;51.5;25.5;21.5;6.0
33.5;46.5;14.5;13.5;47.5;7.5;24.5;237.5;49.5;14.5;12.5;6.0
43.5;45.5;6.5;17.5;80.5;14.5;52.5;180.5;33.5;24.5;32.5;6.0
25.5;68.5;10.5;11.5;62.5;22.5;85.5;162.5;46.5;18.5;9.5;6.0
28.5;122.5;11.5;9.5;104.5;10.5;85.5;180.5;42.5;21.5;6.5;5.0
43.5;45.5;6.5;17.5;80.5;14.5;52.5;180.5;33.5;24.5;32.5;6.0
28.5;69.5;2.5;22.5;40.5;3.5;9.5;292.5;61.5;16.5;9.5;5.0
35.5;72.5;2.5;24.5;45.5;11.5;30.5;276.5;56.5;17.5;13.5;5.0
33.5;39.5;19.5;7.5;47.5;21.5;97.5;168.5;51.5;12.5;13.5;5.0
45.5;55.5;6.5;12.5;93.5;27.5;86.5;305.5;28.5;34.5;12.5;5.0
37.5;127.5;2.5;9.5;46.5;3.5;8.5;194.5;65.5;13.5;32.5;5.0
36.5;127.5;2.5;11.5;47.5;3.5;8.5;194.5;66.5;12.5;32.5;5.0
35.5;50.5;18.5;11.5;30.5;3.5;12.5;180.5;54.5;56.5;26.5;7.0
16.5;25.5;17.5;11.5;37.5;6.5;15.5;137.5;54.5;21.5;12.5;5.0
35.5;79.5;58.5;13.5;79.5;30.5;108.5;224.5;36.5;30.5;12.5;5.0
11.5;39.5;11.5;19.5;14.5;17.5;94.5;42.5;75.5;27.5;53.5;5.0
11.5;39.5;11.5;19.5;14.5;17.5;94.5;42.5;75.5;27.5;53.5;5.0
21.5;39.5;3.5;6.5;25.5;17.5;22.5;114.5;52.5;22.5;18.5;6.0
34.5;121.5;7.5;17.5;49.5;13.5;25.5;162.5;34.5;19.5;19.5;6.0
39.5;79.5;13.5;12.5;55.5;16.5;59.5;203.5;31.5;46.5;16.5;5.0
38.5;73.5;17.5;11.5;54.5;10.5;48.5;224.5;35.5;41.5;13.5;5.0
27.5;30.5;38.5;13.5;46.5;13.5;41.5;251.5;60.5;28.5;9.5;5.0
33.5;46.5;21.5;15.5;46.5;15.5;100.5;180.5;45.5;18.5;13.5;5.0
33.5;46.5;21.5;13.5;46.5;17.5;102.5;180.5;44.5;18.5;13.5;5.0
39.5;79.5;13.5;12.5;55.5;16.5;59.5;203.5;31.5;46.5;16.5;5.0
